тир;блок;фасет;ключ;значение;товаров;шорт-лист
2;новый фасет;Серия;series;KTPR;12;да
2;новый фасет;Серия;series;Typhoon;12;да
2;новый фасет;Серия;series;PET PLUS;12;да
2;новый фасет;Серия;series;POLARIS;11;да
3;новый фасет;Винтовой блок;block;Baosi;2339;да
3;новый фасет;Винтовой блок;block;Hanbell AB;871;да
3;новый фасет;Винтовой блок;block;RotorComp;786;да
3;новый фасет;Винтовой блок;block;Atlas Copco;754;да
3;новый фасет;Винтовой блок;block;Atlas Copco C;730;да
3;новый фасет;Винтовой блок;block;АРМ;709;да
3;новый фасет;Винтовой блок;block;ASU;686;да
3;новый фасет;Винтовой блок;block;Almig;577;да
3;новый фасет;Винтовой блок;block;Aerzener;534;да
3;новый фасет;Винтовой блок;block;Hanbell AC;505;да
3;новый фасет;Винтовой блок;block;Hanbell;492;да
3;новый фасет;Винтовой блок;block;Hanbell ABD;462;да
3;новый фасет;Винтовой блок;block;Atmos;362;да
3;новый фасет;Винтовой блок;block;SKK;361;да
3;новый фасет;Винтовой блок;block;FINI;356;да
3;новый фасет;Винтовой блок;block;Ingersoll Rand;313;да
3;новый фасет;Винтовой блок;block;Remeza;294;да
3;новый фасет;Винтовой блок;block;Jiuyi;232;да
3;новый фасет;Винтовой блок;block;Hanbell AA;195;да
3;новый фасет;Винтовой блок;block;Termomeccanica;194;да
3;новый фасет;Винтовой блок;block;GHH Rand;177;да
3;пробел в фасете;Производительность, л/мин;perf;4000;128;да
3;пробел в фасете;Мощность, кВт;power;18;125;да
3;пробел в фасете;Производительность, л/мин;perf;13000;124;да
3;пробел в фасете;Мощность, кВт;power;280;122;да
3;новый фасет;Винтовой блок;block;Niemann;115;да
3;пробел в фасете;Рабочее давление, бар;press;35;115;да
3;пробел в фасете;Рабочее давление, бар;press;3;114;да
3;пробел в фасете;Рабочее давление, бар;press;9;111;да
3;пробел в фасете;Производительность, л/мин;perf;16000;111;да
3;пробел в фасете;Рабочее давление, бар;press;4;107;да
3;пробел в фасете;Рабочее давление, бар;press;14;106;да
3;новый фасет;Винтовой блок;block;ACI;96;да
3;пробел в фасете;Производительность, л/мин;perf;8000;90;да
3;новый фасет;Винтовой блок;block;Comprag;88;да
3;пробел в фасете;Производительность, л/мин;perf;14000;84;да
3;пробел в фасете;Производительность, л/мин;perf;24000;82;да
3;пробел в фасете;Рабочее давление, бар;press;9,5;81;да
3;пробел в фасете;Мощность, кВт;power;33;71;да
3;пробел в фасете;Производительность, л/мин;perf;17000;71;да
3;пробел в фасете;Рабочее давление, бар;press;18;64;да
3;пробел в фасете;Производительность, л/мин;perf;11000;64;да
3;пробел в фасете;Производительность, л/мин;perf;9000;64;да
3;пробел в фасете;Производительность, л/мин;perf;18000;62;да
3;пробел в фасете;Производительность, л/мин;perf;26000;58;да
3;пробел в фасете;Производительность, л/мин;perf;21000;57;да
3;пробел в фасете;Рабочее давление, бар;press;10,5;56;да
3;пробел в фасете;Мощность, кВт;power;26;55;да
3;пробел в фасете;Производительность, л/мин;perf;33000;54;да
3;новый фасет;Винтовой блок;block;Ironmac;53;да
3;пробел в фасете;Производительность, л/мин;perf;400;53;да
3;пробел в фасете;Производительность, л/мин;perf;22000;52;да
3;новый фасет;Производитель ДВС;engine;Kubota;51;да
3;новый фасет;Винтовой блок;block;AIPU;48;да
3;пробел в фасете;Мощность, кВт;power;410;48;да
3;пробел в фасете;Рабочее давление, бар;press;1,5;45;да
3;пробел в фасете;Производительность, л/мин;perf;28000;43;да
3;пробел в фасете;Рабочее давление, бар;press;6,5;42;да
3;пробел в фасете;Рабочее давление, бар;press;17;42;да
3;пробел в фасете;Производительность, л/мин;perf;29000;41;да
3;новый фасет;Винтовой блок;block;Hitachi;40;да
3;пробел в фасете;Рабочее давление, бар;press;12,5;39;да
3;пробел в фасете;Производительность, л/мин;perf;31000;38;да
3;пробел в фасете;Производительность, л/мин;perf;40000;37;да
3;новый фасет;Винтовой блок;block;HDHJ;36;да
3;новый фасет;Винтовой блок;block;Atlas Copco S;35;да
3;новый фасет;Производитель ДВС;engine;Caterpillar;35;да
3;пробел в фасете;Производительность, л/мин;perf;32000;33;да
3;новый фасет;Винтовой блок;block;HTH;32;да
3;пробел в фасете;Рабочее давление, бар;press;21;32;да
3;пробел в фасете;Мощность, кВт;power;60;31;да
3;пробел в фасете;Производительность, л/мин;perf;27000;31;да
3;пробел в фасете;Производительность, л/мин;perf;34000;30;да
3;пробел в фасете;Производительность, л/мин;perf;41000;30;да
3;пробел в фасете;Мощность, кВт;power;24;29;да
3;пробел в фасете;Производительность, л/мин;perf;36000;29;да
3;пробел в фасете;Мощность, кВт;power;450;28;да
3;пробел в фасете;Рабочее давление, бар;press;22;26;да
3;новый фасет;Винтовой блок;block;Xinlei;25;да
3;пробел в фасете;Производительность, л/мин;perf;300;25;да
3;пробел в фасете;Производительность, л/мин;perf;35000;25;да
3;пробел в фасете;Производительность, л/мин;perf;38000;25;да
3;пробел в фасете;Мощность, кВт;power;300;24;да
3;пробел в фасете;Мощность, кВт;power;140;24;да
3;пробел в фасете;Производительность, л/мин;perf;200;24;да
3;пробел в фасете;Производительность, л/мин;perf;19000;24;да
3;пробел в фасете;Рабочее давление, бар;press;1;22;да
3;новый фасет;Производитель ДВС;engine;Yunnei;21;да
3;пробел в фасете;Производительность, л/мин;perf;42000;20;да
3;пробел в фасете;Производительность, л/мин;perf;51000;19;да
3;пробел в фасете;Рабочее давление, бар;press;2;18;да
3;пробел в фасете;Производительность, л/мин;perf;52000;18;да
3;новый фасет;Производитель ДВС;engine;Perkins;17;да
3;пробел в фасете;Мощность, кВт;power;80;17;да
3;пробел в фасете;Производительность, л/мин;perf;39000;17;да
3;пробел в фасете;Производительность, л/мин;perf;48000;16;да
3;новый фасет;Производитель ДВС;engine;Xichai;15;да
3;новый фасет;Производитель ДВС;engine;Deutz;15;да
3;пробел в фасете;Производительность, л/мин;perf;43000;15;да
3;новый фасет;Производитель ДВС;engine;Faw;14;да
3;новый фасет;Производитель ДВС;engine;Yushai;13;да
3;пробел в фасете;Мощность, кВт;power;150;13;да
3;новый фасет;Производитель ДВС;engine;Jiangtian;12;да
3;пробел в фасете;Рабочее давление, бар;press;350;12;да
3;пробел в фасете;Мощность, кВт;power;190;12;да
3;пробел в фасете;Производительность, л/мин;perf;47000;12;да
3;пробел в фасете;Мощность, кВт;power;260;11;да
3;пробел в фасете;Производительность, л/мин;perf;46000;11;да
3;пробел в фасете;Производительность, л/мин;perf;44000;11;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры масляные 1 ст (7-15 бар);6322;да
-;новый фасет;Гарантия;warranty;2 года;5789;да
-;новый фасет;Гарантия;warranty;3 года;1624;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры безмаслянные винтовые;1478;да
-;новый фасет;Тип охлаждения;cooling;воздушное;1245;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры дизельные;1013;да
-;новый фасет;Товарная группа (1С);tgroup;Компрессоры масляные 2 ст.;987;да
-;пробел в фасете;Напряжение питания, В;volt;400;738;да
-;новый фасет;Точка росы, °C;dewpt;+3;600;да
