"колонка";"свойство";"заполнено (все товары)";"% всех";"заполнено (компрессоры)";"% компрессоров";"уникальных значений";"топ-5 значений"
"IE_DETAIL_TEXT";"детальный текст";"23677";"86.2";"17151";"85.5";"2326";"<p>Винтовые компрессоры ENGER серии HB - современные высокотехнологичные масляны (802); <p>
Винтовые компрессоры BERG предназначены для непрерывной работы в самых тяже (578); <p>Экономия электроэнергии при использовании винтового двухступенчатого компресс (498); <p> Винтовые компрессоры ARIACOM соответствуют всем стандартам и требованиям. Эт (487); <p><b>Преимущества компрессорной станции ET SL:</b></p>
<ul><li><b>Долговечност (463)"
"IE_DETAIL_TEXT_TYPE";"тип текста";"27477";"100.0";"20054";"100.0";"2";"html (23639); text (3838)"
"IE_CODE";"символьный код";"27434";"99.8";"20054";"100.0";"3000+";"klapan-predokhranitelnyy-3-4 (1); 8000h-preventive-maintenance-kit-b (1); ceparator-tsentrobezhnyy-tsiklonnyy-remeza-ws001 (1); ceparator-tsentrobezhnyy-tsiklonnyy-remeza-ws002 (1); ceparator-tsentrobezhnyy-tsiklonnyy-remeza-ws003 (1)"
"IE_SORT";"сортировка";"27477";"100.0";"20054";"100.0";"1";"500 (27477)"
"IE_TAGS";"теги";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22705";"Максимальная цена";"20914";"76.1";"15295";"76.3";"3000+";"1220385.00 (14); 403903.00 (13); 9570490.00 (12); 321482.00 (10); 347961.00 (10)"
"IP_PROP22562";"Мощность, кВт";"20999";"76.4";"19793";"98.7";"606";"15 (1453); 11 (1369); 22 (1270); 7.5 (1186); 37 (1010)"
"IP_PROP22571";"Производительность, л/мин";"19617";"71.4";"19275";"96.1";"2527";"10000 (216); 3200 (203); 1700 (197); 5000 (182); 1100 (176)"
"IP_PROP22572";"Пропускная способность, л/мин";"1204";"4.4";"1";"0.0";"194";"3000 (38); 18000 (35); 2000 (33); 1500 (33); 5000 (28)"
"IP_PROP22670";"Винтовой блок";"12545";"45.7";"12502";"62.3";"48";"BAOSI (866); Baosi (763); Atlas Copco (754); Baosi (Китай) (749); Atlas Copco C (Бельгия) (730)"
