list;stranica;zakazchik;god_min;god_max;hvost
1_referentsii_repkh_eksport_po_stranam.pdf;6;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т";2011;2011;2011 МЩУ Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;7;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2011;2011;2011 МЩУ Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;7;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2012;2012;2012 НКУ (пульты, ШУ) Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;7;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2014;2014;2014
1_referentsii_repkh_eksport_po_stranam.pdf;7;"Индия, Тамилнад ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т";2017;2017;2017 ЗИП Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;7;Индия АО ИК АСЭ АЭС Куданкулам 8;2018;2018;2018 Шкафы питания и
1_referentsii_repkh_eksport_po_stranam.pdf;7;Индия АО ИК АСЭ АЭС Куданкулам 1170 ед;2019;2019;2019 ЗИП Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;7;1 Н-200-11-1 Индия Бхилайский МЗ Бхилайский МЗ 2;1957;1957;1957 0,1 200 1 0,11 0,09 Электродвигатель Металлургия сернистый газ
1_referentsii_repkh_eksport_po_stranam.pdf;7;2 К-3250-41-1 Индия Бхилайский МЗ Бхилайский МЗ 1;1957;1957;1957 9,8 2450 2 0,441 0,098 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;3 Н-750-23-1 Индия Бхилайский МЗ Бхилайский МЗ 3;1957;1957;1957 не менее 0.45 680 1 0,12 0,09 Электродвигатель Металлургия коксовый газ
1_referentsii_repkh_eksport_po_stranam.pdf;7;4 Н-3500-14-1 Индия Бхилайский МЗ Бхилайский МЗ 2;1958;1958;1958 1,3 4000 1 0,0915 0,0914 Электродвигатель Металлургия агломерационный газ
1_referentsii_repkh_eksport_po_stranam.pdf;7;5 ОК-500-92 Индия Бхилайский МЗ Бхилайский МЗ 2;1958;1958;1958 3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;6 К-3250-41-1 Индия Бхилайский МЗ Бхилайский МЗ 3;1959;1959;1959 9,8 2450 2 0,441 0,098 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;7 Н-360-22-2 Индия Бхилайский МЗ Бхилайский МЗ 1;1962;1962;1962 не менее 0.4 230 1 0,17 0,10 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;8 К-500-61-1 Индия Бхилайский МЗ Бхилайский МЗ 1;1963;1963;1963 3,15 525 3 0,9 0,098 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;9 К-4250-41-2 Индия Бхилайский МЗ Бхилайский МЗ 2;1964;1964;1964 18 4240 2 0,40 0,10 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;10 Н-3500-14-1 Индия Бхилайский МЗ Бхилайский МЗ 1;1964;1964;1964 1,3 4000 1 0,0915 0,0914 Электродвигатель Металлургия агломерационный газ
1_referentsii_repkh_eksport_po_stranam.pdf;7;11 К-4250-41-2 Индия Бхилайский МЗ Бхилайский МЗ 1;1965;1965;1965 18 4240 2 0,40 0,10 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;12 Н-3500-14-1 Индия Бхилайский МЗ Бхилайский МЗ 1;1965;1965;1965 1,3 4000 1 0,0915 0,0914 Электродвигатель Металлургия агломерационный газ
1_referentsii_repkh_eksport_po_stranam.pdf;7;13 К-4250-41-2 Индия Бхилайский МЗ Бхилайский МЗ 1;1966;1966;1966 18 4240 2 0,40 0,10 Паровая турбина Металлургия Воздух
1_referentsii_repkh_eksport_po_stranam.pdf;7;14 Н-6500-11-4 Индия Бхилайский МЗ Бхилайский МЗ 1;1974;1974;1974 1,6 6750 1 0,096234803 0,08623202 Электродвигатель Металлургия газ ферросплавных
1_referentsii_repkh_eksport_po_stranam.pdf;7;15 Н-6500-11-4 Индия Бхилайский МЗ 1;1975;1975;1975 1,6 6750 1 0,10 0,09 Электродвигатель Металлургия газ ферросплавных
1_referentsii_repkh_eksport_po_stranam.pdf;7;16 Н-900-31-6 Индия Antibiotics Plant Antibiotics Plant 1;1976;1976;1976 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;7;17 Н-900-31-6 Индия Antibiotics Plant Antibiotics Plant 2;1977;1977;1977 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;7;18 К-5500-42-1 Индия 1;1989;1989;1989 18-20.44 3950-4150 2 0,5096 0,098 Паровая турбина Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;8;1 К-1500-62-2 Иран Исфаханский МЗ Исфаханский МЗ 2;1969;1969;1969 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;8;2 К-1500-62-2 Иран Исфаханский МЗ Исфаханский МЗ 4;1975;1975;1975 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;8;3 К-3250-42-1 Иран Исфаханский МЗ Исфаханский МЗ 2;1969;1969;1969 Металлургия
