inn;predpriyatie;nazvanie_egrul;adres;sayt;rukovoditel;dolzhnost_rukovoditelya;status_egrul;vyruchka;vyruchka_god;okved_osnovnoy;okvedov;okved_kody;ssylka_checko;ssylka_okved
7430017898;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЕТ""";Челябинская обл, г Коркино, ул Черняховского, д 24;;Феоктистов Константин Владимирович;УПРАВЛЯЮЩИЙ;ACTIVE;28,3 млн;2025;;;;https://checko.ru/company/promet-1137430003468;
8606012954;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЙТЕПЛОЭНЕРГИЯ""";Ханты-Мансийский Автономный округ - Югра, г Урай, ул Пионеров, д 4;;Васинович Валерий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;517,9 млн;2025;;;;https://checko.ru/company/urayteploehnergiya-1088606000559;
5505204171;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКИЙ ЗАВОД ТРАНСПОРТНОГО МАШИНОСТРОЕНИЯ""";г Омск, Красный пер, д 2;transmash-omsk.ru;Орлов Игорь Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;;;https://checko.ru/company/omsktransmash-1085543060734;
8610009898;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕФТЯНАЯ КОМПАНИЯ КРАСНОЛЕНИНСКНЕФТЕГАЗ""";Ханты-Мансийский Автономный округ - Югра, г Нягань, ул Сибирская, д 22А;;Чу Эдуард Санович;Конкурсный управляющий;BANKRUPT;6,8 млн;2025;;;;https://checko.ru/company/nk-kng-1028601500740;
6608000453;ОАО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПНЕВМОСТРОЙМАШИНА""";г Екатеринбург, Сибирский тракт 1 км, стр 8Е;psm-hydraulics.ru;Богатов Максим Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;1,3 млрд;2021;;;;https://checko.ru/company/psm-1026605412415;
8905053564;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАФТАГАЗ-БУРЕНИЕ""";121059, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ДОРОГОМИЛОВО, УЛ. БРЯНСКАЯ, Д. 5, ПОМЕЩ. 1/1/3;naftagaz.com;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАФТАГАЗ""";;ACTIVE;15,3 млрд;2025;;;;https://checko.ru/company/ng-burenie-1138905000090;
6330040027;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕФТЯНОЙ ТЕРМИНАЛ САМАРА""";г Самара, ул Максима Горького, д 97, ком 42;mnd.cz;Ваднай Станислав Павлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;86,9 млн;2025;;;;https://checko.ru/company/neftyanoy-terminal-samara-1046301405094;
3443046698;ЗАО ПО ЗСК;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ЗАВОД СИЛИКАТНОГО КИРПИЧА""";г Волгоград, ул Краснополянская, д 55;zsk34.ru;Жиров Владимир Аркадьевич;Генеральный директор;ACTIVE;541,1 млн;2025;;;;https://checko.ru/company/po-zsk-1023402977718;
6664002550;ОАО &quot;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКИЙ ЗАВОД РЕЗИНОВЫХ ТЕХНИЧЕСКИХ ИЗДЕЛИЙ""";г Екатеринбург, ул Монтерская, стр 3;znak-k.net;Козырев Олег Станиславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;1 млрд;2021;;;;https://checko.ru/company/pao-uralsky-zavod-rti-1026605777703;
7449010952;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ ЗАВОД МЕТАЛЛОКОНСТРУКЦИЙ""";г Челябинск, ул Новороссийская, д 46;metcon.ru;Меринов Аркадий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;5,2 млрд;2021;;;;https://checko.ru/company/chzmk-1027402698730;
1627017968;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЕ УДОБРЕНИЯ""";423628, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), М.Р-Н МЕНДЕЛЕЕВСКИЙ, Г.П. ГОРОД МЕНДЕЛЕЕВСК, Г. МЕНДЕЛЕЕВСК, ТЕР. ПРОМЗОНА, ЗД. 3, ЭТАЖ 3, ПОМЕЩ. 27;;Кульшай Богдан Юрьевич;ДИРЕКТОР;ACTIVE;244,7 млн;2025;;;;https://checko.ru/company/novye-udobreniya-1201600064929;
7423023178;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСЭНЕРГО""";Челябинская обл, г Снежинск, ул Транспортная, д 44;oaotransenergo.ru;Карташов Константин Михайлович;ЗАМЕСТИТЕЛЬ ДИРЕКТОРА;ACTIVE;2 млрд;2025;;;;https://checko.ru/company/transehnergo-1087423000719;
5407127899;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБМОСТ""";г Новосибирск, пр-кт Димитрова, д 16;;Богданов Сергей Анатольевич;Конкурсный управляющий;BANKRUPT;;;;;;https://checko.ru/company/sibmost-1025403206300;
4202019280;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛОВСКИЙ ЗАВОД СБОРНОГО ЖЕЛЕЗОБЕТОНА""";Кемеровская область - Кузбасс, г Белово, ул Красноярская, д 1;bzsjb.ru;Арвачёв Виталий Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;246,4 млн;2025;;;;https://checko.ru/company/bzszhb-1024200541034;
0309011992;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИМЛЮЙСКИЙ ЦЕМЕНТНЫЙ ЗАВОД""";Респ Бурятия, Кабанский р-н, пгт Каменск, ул Промышленная, д 3;sibcem.ru;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""СИБИРСКИЙ ЦЕМЕНТ""";;ACTIVE;3,6 млрд;2025;;;;https://checko.ru/company/timlyuycement-1050300751478;
2221003719;АО ПКФ &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""СИЛИКАТЧИК""";г Барнаул, ул Силикатная, д 16;stroyberg.su;Дыров Михаил Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;285 млн;2025;;;;https://checko.ru/company/pkf-silikatchik-1022200909444;
5405215998;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБАВТОБАН""";г Новосибирск, ул Кирова, д 46;;Шипков Дмитрий Савельевич;Конкурсный управляющий;LIQUIDATED;;;;;;https://checko.ru/company/sibavtoban-1025401927473;
5404109771;ОАО &quot;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБИРСКИЙ ЗАВОД СТРОИТЕЛЬНЫХ КОНСТРУКЦИЙ""";г Новосибирск, ул Большая, д 254;nzsk.ru;Попов Олег Леонтьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;603,5 млн;2025;;;;https://checko.ru/company/nzsk-1025401484184;
2540016954;ОАО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРИМОРСКУГОЛЬ""";г Владивосток, ул Тигровая, д 29;;Заньков Александр Петрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;LIQUIDATED;;;;;;https://checko.ru/company/primorskugol-1022502259636;
8603119699;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОПАН""";Ханты-Мансийский Автономный округ - Югра, г Нижневартовск, ул 2П-2, зд 44 стр 7;;Горбунова Александра Владимировна;ДИРЕКТОР;ACTIVE;110 млн;2025;;;;https://checko.ru/company/propan-1048600531187;
3257022107;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТСТРОЙ""";г Брянск, ул 7-я Линия, д 42;;Рейштат Юрий Наумович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;30,6 млн;2025;;;;https://checko.ru/company/ehkspertstroy-1143256013812;
8619017847;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛЫМ ПЕТРОЛЕУМ ДЕВЕЛОПМЕНТ""";Ханты-Мансийский Автономный округ - Югра, Нефтеюганский р-н, поселок Салым, ул Юбилейная, стр 15;;;;ACTIVE;283 млрд;2024;;;;https://checko.ru/company/spd-1228600007525;
4205034142;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""МОНОЛИТ""";г Кемерово, ул Сибиряков-Гвардейцев, д 3, кв 39;;Сбродов Олег Анатольевич;ЛИКВИДАТОР;LIQUIDATED;0;2021;;;;https://checko.ru/company/firma-monolit-1024200677390;
9111000771;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕРЧЬХОЛОД""";Респ Крым, г Керчь, ул Цементная Слободка, д 49;kerchholod.ru;Горшенин Дмитрий Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;276,9 млн;2025;;;;https://checko.ru/company/kerchholod-1149102021298;
9111004818;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЛИВ""";г Москва, ул Озёрная, д 42, помещ I, ком 22;proliv.com.ru;Ильичев Александр Александрович;РУКОВОДИТЕЛЬ ВРЕМЕННОЙ АДМИНИСТРАЦИИ;ACTIVE;460,6 млн;2023;;;;https://checko.ru/company/proliv-1149102087353;
3319006108;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИТМАШ-М""";Владимирская обл, г Меленки, ул Фрунзе, д 1;litmashm.ru;Колгушкин Виктор Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;1,3 млрд;2025;;;;https://checko.ru/company/litmash-m-1023301068207;
3913503419;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЕЛОТ""";г Калининград, ул Полтавская, д 8;;Ивахненко Андрей Николаевич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;BANKRUPT;;;;;;https://checko.ru/company/kamelot-1113926035629;
6229046736;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗДОРОВЫЕ ПРОДУКТЫ""";Владимирская обл, Собинский р-н, г Лакинск, пр-кт Ленина, д 75, ком 7;;Ионов Виктор Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;1,8 млрд;2025;;;;https://checko.ru/company/zdorovye-produkty-1136229000357;
9108118614;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙДЕТАЛЬ""";298100, РЕСПУБЛИКА КРЫМ, М.О. ФЕОДОСИЯ, Г. ФЕОДОСИЯ, УЛ. ВЕРЕСАЕВА, ЗД. 12, К. 1, ПОМЕЩ. 7;;Гулим Сергей Ильич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;;;https://checko.ru/company/stroydetal-1159102002443;
2277009462;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕЛОВСКИЙ ПИЩЕВОЙ КОМБИНАТ""";658001, АЛТАЙСКИЙ КРАЙ, М.Р-Н ТАЛЬМЕНСКИЙ, С.П. НОВОПЕРУНОВСКИЙ СЕЛЬСОВЕТ, ТЕР. КРАСНОГО БОЙЦА, ЗД. 1;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР СОДЕЙСТВИЯ БИЗНЕСУ""АЛТАЙСКИЕ ЗАКРОМА""";;ACTIVE;517,6 млн;2025;;;;https://checko.ru/company/npk-1042201140541;
6451104638;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕПК САРАТОВ""";г Саратов, пр-кт Энтузиастов, д 64А;epkgroup.ru;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЕПК""";;ACTIVE;2,1 млрд;2021;;;;https://checko.ru/company/epk-saratov-1026402484250;
5050042936;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЩЕЛКОВСКИЙ ЗАВОД ВТОРИЧНЫХ ДРАГОЦЕННЫХ МЕТАЛЛОВ""";Московская обл, г Щёлково, ул Заречная, д 103А;vtordrag.ru;Рябчиков Александр Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;950,5 млн;2021;;;;https://checko.ru/company/shchelkovsky-zavod-vdm-1035010204492;
2222006462;ОАО &quot;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМБИНАТ ""РУССКИЙ ХЛЕБ""";г Барнаул, ул Сельскохозяйственная, д 3;russkiyhleb.ru;Бузова Светлана Николаевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;370,5 млн;2025;;;;https://checko.ru/company/kombinat-russky-hleb-1022201138684;
3801124250;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛМА-БАЙКАЛ""";Иркутская обл, г Ангарск, тер Первый промышленный массив, кв-л 4, стр 4, помещ 33;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВОЛМА""";;ACTIVE;3,9 млн;2025;;;;https://checko.ru/company/volma-baykal-1133801001729;
7805806847;ФГБУ &quot;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОРДЕНА ЛЕНИНА И ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СИНТЕТИЧЕСКОГО КАУЧУКА ИМЕНИ АКАДЕМИКА С.В. ЛЕБЕДЕВА""";г Санкт-Петербург, ул Гапсальская, д 1 литера а;;Юров Виталий Анатольевич;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ДИРЕКТОРА;ACTIVE;;;;;;https://checko.ru/company/fgbu-niisk-1237800068439;
5045001885;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТУПИНСКОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ""";Московская обл, г Ступино, ул Академика Белова, влд 42;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕРТОЛЕТЫ РОССИИ""";;ACTIVE;3,2 млрд;2018;;;;https://checko.ru/company/smpp-1025005917419;
8913006455;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-ПУРНЕФТЕГАЗ""";Ямало-Ненецкий АО, г Губкинский, мкр № 10, д 3;;Габдулхаков Айдар Халилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;39,8 млрд;2020;;;;https://checko.ru/company/rn-purneftegaz-1058901407707;
7705002602;ГУП &quot;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСГОРТРАНС""";г Москва, Ленинградское шоссе, д 59;mosgortrans.com;Асаул Николай Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;58,1 млрд;2025;;;;https://checko.ru/company/gup-mosgortrans-1037739376223;
9710099978;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ОРГАНИЧЕСКИХ ПОЛУПРОДУКТОВ И КРАСИТЕЛЕЙ""";Московская обл, г Долгопрудный, Лихачевский проезд, д 7 стр 1;;Мельниченко Антонина Павловна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;;;https://checko.ru/company/niopik-1227700404580;
8603087285;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИЖНЕВАРТОВСКОЕ НЕФТЕПЕРЕРАБАТЫВАЮЩЕЕ ОБЪЕДИНЕНИЕ""";Ханты-Мансийский Автономный округ - Югра, г Нижневартовск, ул Северная, зд 6П;;Горюнов Павел Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;3,9 млрд;2020;;;;https://checko.ru/company/nnpo-1028600940565;
7718824504;ОАО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""106 ЭКСПЕРИМЕНТАЛЬНЫЙ ОПТИКО-МЕХАНИЧЕСКИЙ ЗАВОД""";г Москва, Щёлковское шоссе, д 23;106eomz.ru;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""СИСТЕМЫ ПРЕЦИЗИОННОГО ПРИБОРОСТРОЕНИЯ""";;ACTIVE;338,7 млн;2018;;;;https://checko.ru/company/106-ehomz-1107746882803;
7708587205;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЖДСТРОЙ""";г Москва, Елизаветинский пер, д 12 стр 1;rzdstroy.ru;Мальцев Юрий Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;117,8 млрд;2025;;;;https://checko.ru/company/rzhdstroy-1067746082546;
7725043886;АМО ЗИЛ;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД ИМЕНИ И.А. ЛИХАЧЕВА""";г Москва, ул Автозаводская, д 23А к 2, помещ 201;amo-zil.ru;Клячин Алексей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;4,6 млрд;2025;;;;https://checko.ru/company/amo-zil-1027700135759;
7719409437;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ГАЗОТУРБОСТРОЕНИЯ ""САЛЮТ""";г Москва, пр-кт Будённого, д 16 к 2;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ДВИГАТЕЛЕСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ""";;LIQUIDATED;;;;;;https://checko.ru/company/npc-gazoturbostroeniya-salyut-1157746315539;
7724017435;ОАО &quot;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦАРИЦЫНО""";г Москва, Кавказский б-р, д 58 стр 1;tsaritsyno.ru;Гринюк Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;6,1 млрд;2025;;;;https://checko.ru/company/caricyno-1027700321274;
5005000250;ЗАО &quot;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСКРЕСЕНСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ""";Московская обл, г Воскресенск, тер Ратмирово-4, ул Набережная, д 5;;Макаров Валерий Викторович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;0;2021;;;;https://checko.ru/company/vzzhbi-1025000923056;
5009011239;ОАО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОДЕДОВСКИЙ ЗАВОД СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ И КОНСТРУКЦИЙ""";Московская обл, г Домодедово, мкр Центральный, ул Промышленная, д 19;dzsmik.ru;Шелегия Теймураз Георгиевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;118,3 млн;2025;;;;https://checko.ru/company/dzsmik-1025001275353;
5043000212;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАТЕП""";Московская обл, г Серпухов, ул Дзержинского, влд 11;ratep.ru;Изгутдинов Марат Сафаргалеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;;;https://checko.ru/company/ratep-1025005598969;
5027033274;ОАО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАМОВ""";Московская обл, г Люберцы, пгт Томилино, ул Гаршина, д 26/1, офис 637;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕРТОЛЕТЫ РОССИИ""";;LIQUIDATED;;;;;;https://checko.ru/company/kamov-1025003219340;
6229009163;ОАО Тяжпрессмаш;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЯЖПРЕССМАШ""";г Рязань, ул Промышленная, д 5;tkpo.ryazan.ru;Клинов Андрей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;3,9 млрд;2021;;;;https://checko.ru/company/pao-tyazhpressmash-1026201074657;
6230023035;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОРМЕТ""";г Рязань, проезд Яблочкова, д 5;pormet.ru;Гимпельсон Григорий Александрович;ДИРЕКТОР;ACTIVE;153,8 млн;2025;;;;https://checko.ru/company/pormet-1026201108108;
7703286148;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ СТАНДАРТ ВОДКА""";г Санкт-Петербург, Пулковское шоссе, д 46 к 2;rossiya-airlines.com;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСТ РОССИЯ""";;ACTIVE;4 млрд;2025;;;;https://checko.ru/company/rsv-1027739297211;
7736650307;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРЕЙНРУС - КУРСКИЙ СОЛОД""";г Москва, Учебный пер, д 4 стр 1;;Авидонова Галина Александровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;720,8 млн;2025;;;;https://checko.ru/company/greynrus-kursky-solod-1127747064840;
4607004317;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САХАР ЗОЛОТУХИНО""";Курская обл, Золотухинский р-н, поселок Солнечный, ул Заводская, зд 7;;Овчинников Игорь Евгеньевич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;;;;;;https://checko.ru/company/sahar-zolotuhino-1054603003289;
7103028233;ПАО &quot;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СТРЕЛА""";г Тула, ул М.Горького, д 6;npostrela.com;Кузнецов Дмитрий Олегович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;;;https://checko.ru/company/pao-npo-strela-1027100517256;
5827901321;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖНЕЛОМОВСКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАВОД""";Пензенская обл, г Нижний Ломов, ул Толстого, д 1;nlemz.ru;Сапожников Андрей Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;;;;;;https://checko.ru/company/nlehmz-1115827001740;
7116001422;ЗАО &quot;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ХИМСЕРВИС"" ИМЕНИ А.А. ЗОРИНА""";Тульская обл, г Новомосковск, ул Свободы, д 9;;Терехов Вадим Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;861,7 млн;2025;;;;https://checko.ru/company/himservis-1027101418728;
3666104150;ООО &quot;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛМИРА""";г Воронеж, ул Орджоникидзе, д 14/16, офис 54;;Кораблин Александр Анатольевич;ДИРЕКТОР;LIQUIDATED;;;;;;https://checko.ru/company/almira-1033600075123;
6664007685;ОАО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙПЛАСТПОЛИМЕР""";г Екатеринбург, ул Бисертская, стр 1;stroyplastpolymer.ru;Холкин Юрий Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;282,8 млн;2025;;;;https://checko.ru/company/spp-1026605754537;
5003004517;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГИПСОБЕТОН""";142701, МОСКОВСКАЯ ОБЛАСТЬ, Г ВИДНОЕ, УЛ МЕТАЛЛИСТОВ (ЮЖНАЯ ПРОМЗОНА ТЕР.), ВЛД. 15, СТР. 3, СТРОЕНИЕ 3, КОМНАТА 22;vidarts.ru;Цепаев Евгений Борисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;899,8 млн;2025;;;;https://checko.ru/company/gipsobeton-1025000655932;
3706008060;ОАО ХБК &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ХЛОПЧАТОБУМАЖНЫЙ КОМБИНАТ ""ШУЙСКИЕ СИТЦЫ""";Ивановская обл, г Шуя, ул Московская 1-я, д 19;sitsy.ru;Богаделина Анна Викторовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;2,9 млрд;2018;;;;https://checko.ru/company/hbk-shuyskie-sitcy-1023701390514;
4825002609;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛИПЕЦКЦЕМЕНТ""";398007, ЛИПЕЦКАЯ ОБЛАСТЬ, Г. ЛИПЕЦК, УЛ. КОВАЛЕВА, ВЛД. 126Б, ЭТ/ОФ 2/5;;Смирнов Сергей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;LIQUIDATED;4,4 млрд;2023;;;;https://checko.ru/company/lipeckcement-1024800828315;
1325035424;АО &quot;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САРАНСКИЙ ЗАВОД АВТОСАМОСВАЛОВ""";г Саранск, ул Строительная, д 11;samosvalsaz.ru;;;ACTIVE;667,4 млн;2021;;;;https://checko.ru/company/saz-1021301061869;
