marka;forma;vstrech;innov;tip;chem_dobyta;primer;ssylka
N200VLD-2,6;ЛЦЛ-Ц,Ц;1;1;компрессор;регулярка;безопасности на технические устройства: № п/п Наименование объектов экспертизы Зав. № Поз. № 1. Компрессор винтовой аммиачный марки Mycom MYC N200VLD-2,6 2015763 (31) 7 2. Компрессор винтовой аммиачны;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-03678-2021
2TEV63 460/240;ЦЛЦ Ц/Ц;1;1;компрессор;регулярка;техническое устройство «Углекислотный компрессор», 2TEV63 460/240, зав.№900818», применяемое на опасном производственном объекте: «Площадка участка углекислотного отделения филиала (г. Омск)», рег. № ;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-23832-2020
TS 2/025-В3;Л Ц/Ц-КЦ;1;1;компрессор;регулярка;техническое устройство, применяемое на опасном производственном объекте – Поршневой компрессор марки TS 2/025-В3, техн. позиция С-705А, отработавший нормативный срок службы, принадлежащий ООО «НПП «Не;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-04881-2021
Р-31/1,2,3,4,5,6;К-Ц/Ц,Ц,Ц,Ц,Ц,Ц;1;1;узел: ресивер;регулярка;Объект экспертизы: техническое устройство – трубопровод подачи азота от ПК-23/2,3 в ресиверы Р-31/1,2,3,4,5,6 и от ресиверов до распределительной гребенки, применяемый на опасном производственном объе;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-07292-2017
J2R 160-2;ЛЦЛ Ц-Ц;1;1;компрессор;регулярка;поршневой компрессор марки J2R 160-2, тех. поз. РК-301 С-301;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06888-2014
КРНY 65218 ВР;КЛ Ц К;1;1;компрессор;регулярка;Центробежный компрессор марки КРНY 65218 ВР 118.42-0 тех. поз. РК-501 (С-501);https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06896-2014
IS 1/0,28-A1;Л Ц/Ц,Ц-ЛЦ;1;1;компрессор;регулярка;поршневой компрессор марки IS 1/0,28-A1 тех. поз. С-611;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06901-2014
7ГВ 50/7 М2;ЦК Ц/Ц КЦ;1;1;компрессор;регулярка;Техническое устройство– винтовой компрессор 7ГВ 50/7 М2 зав. № 03003, применяемый на опасном производственном объекте «Пункт подготовки и сбора нефти № 6 Приразломного месторождения»;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-48736-2024
N60-G10/35;ЛЦ-ЛЦ/Ц;1;1;компрессор;регулярка;Компрессор Kaeser N60-G10/35 зав. № 1013 применяемый на опасном производственном объекте «Участок комплексной подготовки газа (УПГ) на Приобском месторождении»;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-47018-2022
АФК 65/210 К;К Ц/Ц К;1;1;воздуходувка;регулярка;"ЦДНГ-1, куст 124: фонтанная и нагнетательная арматура, всего 8 шт.: АФК 65/210 К-1 скв. №403, зав. №32; АНК 65/210 скв. №404, зав. №5833; АНК 65/210 скв. №1415, зав. №96609; АФК 65/140 скв. №5843, зав";https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-04685-2020
ОСВ-15/1,2В-01;К-Ц/Ц,ЦК-Ц;1;1;осушитель;регулярка;техническое устройство Осушитель сжатого воздуха ОСВ-15/1,2В-01 зав.№100 рег.№110-В ЦБПО ЭПУ ПАО «Сургутнефтегаз»;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-357539-2025
ТАКАТ 18.06.-17-УХЛ1;К Ц.Ц.-Ц-КЦ;1;1;компрессор;регулярка;техническое устройство: Установка компрессорная ТАКАТ 18.06.-17-УХЛ1 Зав.№94002;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-09107-2025
2ВУ-1,5-2,5/26М3;ЦК-Ц,Ц-Ц,Ц/ЦКЦ;1;1;компрессор;регулярка;Компрессор 2ВУ-1,5-2,5/26М3, инв. №00967;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-02041-2016
MXL 260-4-1500-4;Л Ц-Ц-Ц-Ц;1;1;компрессор;регулярка;Заключение № 0019-2026 экспертизы промышленной безопасности на техническое устройство Компрессор Ariel JG/4 MICROBOX MXL 260-4-1500-4;https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-787826-2026
СБ4/С-50.АВ360;КЦ/К-Ц.КЦ;1;1;компрессор;регулярка;Установка компрессорная СБ4/С-50.АВ360 ст. № ВКУ-3 зав. №511/20025 инв. № 000004691 применяемые на опасном производственном объекте: Автомобильная газонаполнительная компрессорная станция г. Изобильны;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-479726-2025
А19-09686-0208 IV;КЦ-Ц-Ц Л;1;1;узел: компрессорная станция;регулярка;Запорно-регулирующая арматураАГНКС-1, инв.№ 000003166 Автомобильная газонаполнительная компрессорная станция №1, г. Чапаевск А19-09686-0208 IV класс опасности 446112, Российская Федерация, Самарская о;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-49122-2025
SW132F6-12-EM;ЛЦЛЦ-Ц-Л;1;1;компрессор;регулярка;техническое устройство - компрессорные установки SAFE SW132F6-12-EM, заводской №: 38982/3, 38982/4;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-27735-2024
КУ-1,КУ-2;К-Ц,К-Ц;1;1;узел: воздуходувка;регулярка;"Технологический трубопровод газа от КРП до всасывающих клапанов 1-ступени КУ-1, КУ-2 и электроприводных вентилей №6/1,6/2, инв. №10/1; Технологический трубопровод газа от нагнетательных клапанов 1-й с";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-34270-2023
МТМ2.030.360.000;КЦ.Ц.Ц.Ц;1;1;компрессор;регулярка;техническое устройство – Установка компрессорная МТМ2.030.360.000, зав. №0004, применяемое на опасном производственном объекте «Автомобильная газонаполнительная компрессорная станция № 1 г. Кемерово, ;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-58428-2023
ГМ2,5-1;КЦ,Ц-Ц;1;1;компрессор;регулярка;компрессорная установка 4 ГМ2,5-1, 2/10-250;https://monitor-pb.ru/conclusion/36-%D0%A2%D0%A3-04736-2017
ГМ 4-1,3/12-250;К Ц-Ц,Ц/Ц-Ц;1;1;компрессор;регулярка;"Компрессорную установку 2 ГМ 4-1,3/12-250, зав.№86060, ст. №5, установленную на АГНКС ООО ""Газпром газоматорное топливо"" филиал в г. Ставрополь по адресу г. Владикавказ, 7-й км Черменского шоссе, РСО-";https://monitor-pb.ru/conclusion/37-%D0%A2%D0%A3-04720-2017
4HR3KN-200/2100-5-249WLK;ЦЛЦЛ-Ц/Ц-Ц-ЦЛ;1;1;компрессор;регулярка;Компрессорная установка, тип: 4HR3KN-200/2100-5-249WLK, Инв. №000004576;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-05960-2017
SMC 108L LP;Л ЦЛ Л;1;1;компрессор;регулярка;Поршневой компрессор марки SMC 108L LP зав. № 101045;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-20159-2021
JK 3,4, ОО;Л Ц,Ц, К;1;1;ресивер;регулярка;Линия всасывания парообразного аммиака из циркуляционного ресивера (6.520) в компрессоры JK 3,4, ООО «ИННЭКС»;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24387-2016
JK 1,2, ОО;Л Ц,Ц, К;1;1;ресивер;регулярка;Линия всасывания парообразного аммиака из циркуляционного ресивера (6.470) в компрессоры JK 1,2, ООО «ИННЭКС»;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24390-2016
В-7УХЛ4.2;К-ЦКЦ.Ц;1;1;компрессор;регулярка;Установка компрессорная К-В-7УХЛ4.2 (зав.№3, техн.№376), эксплуатируемая на АО «Казанский маслоэкстракционный завод», цех маслоэкстракционного производства, насосная станция автоматического пенного по;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-01945-2021
VE-6А1;Л-ЦКЦ;1;1;компрессор;регулярка;Винтовой компрессорный агрегат двухступенчатый GRASSO VE-6А1, зав.№6919, ст.№12, аммиачно-холодильной установки, эксплуатируемый АО «МИЛКОМ», по адресу: УР, г.Ижевск, ул.Воткинское шоссе, 178, ПП «Ижм;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-40374-2023
VE-61А1;Л-ЦКЦ;1;1;компрессор;регулярка;"""Винтовой компрессорный агрегат двухступенчатый № 12, GRASSO VE-61А1, зав. № 6919, аммиачно-холодильной установки""";https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-28817-2019
ВХ-30-2,6/БР;К-Ц-Ц,Ц/К;1;1;компрессор;регулярка;компрессор ВХ-30-2,6/БР рег.№ 91022;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-02250-2015
ПК-101/Р;К-Ц/К;1;1;узел: ресивер;регулярка;"ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № ЭПБ-01-00473-16201-2021 на технические устройства: Маслоохладитель поз. ХМ-1/р, зав.№831, рег.№2498; Ресивер поз. ПК-101/Р, зав.№ 60070, рег.№ 2306; В";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-35847-2023
SLIA-96-S8;Л-Ц-ЛЦ;1;1;воздуходувка;регулярка;Заключение экспертизы промышленной безопасности №ЭПБ-06-00088-0005-2023 на техническое устройство: нагнетательный вентилятор DN SLIA-96-S8 поз. FDF, зав.№ б/н, установки гидроочистки дизельного топлив;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-34699-2023
ТАКАТ 50.07 МЗ;К Ц.Ц К;1;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности № БНД/У/8/298/22/ОГМ.3036.2024 на техническое устройство: Винтовой компрессор ТАКАТ 50.07 МЗ, зав.№ 2003, - применяемое на опасном производственном объе;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-84093-2024
2ВУ1,5-2,5/26М1;ЦКЦ,Ц-Ц,Ц/ЦКЦ;1;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности № БНД/У/8/298/22/ОГМ.2682.2024 на техническое устройство: Газовый компрессор 2ВУ1,5-2,5/26М1, зав.№ 601405, - применяемое на опасном производственном об;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-51123-2024
2ВУ1-2,5/13М;ЦКЦ-Ц,Ц/ЦК;1;1;компрессор;регулярка;Заключение экспертизы промышленной безопасности № БНД/У/8/298/22/ОГМ.1099.2024: на техническое устройство - Воздушный поршневой компрессор 2ВУ1-2,5/13М, зав. № 17566 - применяемое на опасном про-извод;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27819-2024
ОВБ 1.02.00.00.000;К Ц.Ц.Ц.Ц.Ц;1;1;осушитель;регулярка;Заключение экспертизы промышленной безопасности на техническое устройство - Осушитель воздуха ОВБ 1.02.00.00.000, рег.№ б/н, зав.№ 21210, - применяемое на опасном производственном объекте «Участок пре;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-33235-2021
ГШI-4/1,5-II/II-17, ЗА;КЛ-Ц/Ц,Ц-Л/Л-Ц, К;1;1;компрессор;регулярка;"техническое устройство - компрессорную установку ГШI-4/1,5-II/II-17, ЗАВ. №0041 установленного на Абаканской базе сжиженного газа - филиале ОАО ""СГ-трейдинг""";https://monitor-pb.ru/conclusion/65-%D0%A2%D0%A3-02684-2015
ВХ36-32/2Т1;КЦ-Ц/ЦКЦ;1;1;компрессор;регулярка;Компрессор ВХ36-32/2Т1 поз. № 1600К0102А зав. № 15 01 003 Компрессор ВХ36-32/2Т1 поз. № 1600К0102В зав. № 15 01 004 цех гидроочистки сернистых нефтепродуктов, установка гидроочистки дизельного топлива;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04488-2019
ВХ45-80/63/2Т2;КЦ-Ц/Ц/ЦКЦ;1;1;компрессор;регулярка;"Компрессор ВХ45-80/63/2Т2 поз. № 1600К0101А, зав. № 15 01 001; Компрессор ВХ45-80/63/2Т2 поз. № 1600К0101В, зав. № 15 01 002 (цех гидроочистки сернистых нефтепродуктов, установка гидроочистки дизельно";https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04492-2019
СО2 TZ;КЦ Л;1;1;компрессор;регулярка;Компрессор СО2 TZW 70-55-С, зав. № 843;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-00624-2016
4ВУ1-5/9М4 УХ;ЦКЦ-Ц/ЦКЦ К;1;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННО БЕЗОПАСНОСТИ на техническое устройство, применяемое на опасном производственном объекте: Компрессор воздушный 4ВУ1-5/9М4 УХЛ4 зав.№ 040133589, Киришского филиала по т;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-375032-2025
ЗАФ-57К51М;К-ЦКЦК;1;1;компрессор;регулярка;Компрессор шестеренчатый ЗАФ-57К51М инв.№22;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-32407-2022
С415-М, Р23;КЦ-К, КЦ;1;1;ресивер;регулярка;Ресивер в составе С415-М, Р230/10, зав.№ 458;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-498604-2025
С415-М;КЦ-К;1;1;ресивер;регулярка;Ресивер в составе С415-М, зав.№ 347, рег.№ 1116-А;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-77723-2025
ВУ-1-9/9М4;К-Ц-Ц/ЦКЦ;1;1;компрессор;регулярка;Компрессор 4 ВУ-1-9/9М4;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-12144-2019
ЕSS-11-40;КЛ-Ц-Ц;1;1;компрессор;регулярка;техническое устройство компрессор винтовой ЕSS-11-40 инв. №82150, применяемое на ОПО «Цех по производству муки» (рег. № А48-10132-0003, III класс опасности) АО «Пермский мукомольный завод», расположен;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-14385-2022
ВК 25-Э;К Ц-К;1;1;компрессор;регулярка;«Компрессор винтовой ВК 25-Э зав. №2904», применяемое на ОПО «Площадка станции компрессорной (промысловой) ЦПНГиВ № 3», ГКС Зыбза УНП-3, рег. № А30-05453-0011, IV класс опасности, 353300, Краснодарски;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-10796-2020
К-1/1,2,3;К-Ц/Ц,Ц,Ц;1;1;узел: компрессор;регулярка;Технологический трубопровод попутный нефтяной газ к компрессорам К-1/1,2,3, рег.№ 1, эксплуатируемый на ВГКС Троицкая, ЦПНГиВ-2;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-09252-2016
SАВ 163 ВF;ЛК Ц КЛ;1;1;компрессор;регулярка;"техническое устройство, применяемое на ОПО: аммиачный винтовой компрессор SАВ 163 ВF, зав. № 100.142, поз. 2 холодильно-компрессорного цеха ЗАО ""БРПИ"", г. Москва";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-01264-2016
SАВ 163ВF;ЛК ЦКЛ;1;1;компрессор;регулярка;"техническое устройство, применяемое на ОПО: аммиачный винтовой компрессор SАВ 163ВF, зав. № 100.141, поз. 4 холодильно-компрессорного цеха ЗАО ""БРПИ"", г. Москва";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-01267-2016
F2-MS3-2500, T;ЛЦ-ЛЦ-Ц, Л;1;1;узел: ресивер;регулярка;Всасывающий трубопровод от циркуляционных ресиверов до агрегатов F2-MS3-2500, T=-40˚C, поз. 1, расположенный в компрессорном цехе (машинное отделение) ЗАО «Йошкар-Олинский мясокомбинат;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-15893-2015
6ВМ16-140/200М1, ЗГ;ЦКЦ-Ц/ЦКЦ, К;1;1;узел: компрессор;регулярка;Трубопровод воздуха от компрессоров 6ВМ16-140/200М1, ЗГ-100/200 на блоки осушки, блок очистки, блок разделения установки КЖАР-2;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06367-2016
AS-2,15М;Л-Ц,ЦК;1;1;ресивер;регулярка;техническое устройство «Ресивер аммиачный горизонтальный AS-2,15М зав.№717, рег. № 89096, применяемый на опасном производственном объекте «Аммиачно-холодильная установка Класс опасности ОПО III класс.;https://monitor-pb.ru/conclusion/06-%D0%A2%D0%A3-14214-2022
2ВМ10-50,8;ЦКЦ-Ц,Ц;1;1;компрессор;регулярка;Компрессор 2ВМ10-50,8, зав. №886, рег. №б/н, применяемый на ОПО «Рудник «Южный», по адресу: Приморский край, Дальнегорский городской округ, Кавалеровское лесничество, Тайгинское участковое лесничество;https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-09611-2023
4ВУ0,5-1,5/16;ЦКЦ,Ц-Ц,Ц/Ц;1;1;компрессор;регулярка;Установка компрессорная 4ВУ0,5-1,5/16, зав. № 162 (Газокомпрессорный участок, ООО Шкаповское ГПП»);https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-70121-2024
VDV 1-3-74/7/5/-25;Л Ц-Ц-Ц/Ц/Ц/-Ц;1;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ №25-ТУ-0077-2023 экспертизы промышленной безопасности на техническое устройство: «Поршневой дожимной компрессор Booster-302 VDV 1-3-74/7/5/-25, зав.№F0505125, инв.№20308464» применяемое на ;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-75772-2023
GМА10.2;ЛКЦ.Ц;1;1;компрессор;регулярка;"компрессоры моделей GМА10.2 (3 шт.) производства фирмы ""BUHLER AG"" (Швейцария), применяемые на элеваторе ОАО ""Мельничный комбинат в Сокольниках"", г. Москва, ул. Жебрунова, д. 6";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-04575-2018
OROPOTE-2AF-53M-1;Л-ЦЛ-ЦЛ-Ц;1;1;компрессор;регулярка;Компрессор модели OROPOTE-2AF-53M-1 производства фирмы AB “Umega” dpt.“Vienybe” (Литва), применяемый в мельнице №2 ОАО «Мельничный комбинат в Сокольниках» (г. Москва, ул. Жебрунова, 6).;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09080-2017
TP14X22L0;ЛЦЛЦЛЦ;1;1;компрессор;регулярка;Центробежный компрессор Model TP14X22L0, зав. №40000612-010;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24465-2025
FH2/1;ЛЦ/Ц;1;1;узел: компрессор;регулярка;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № 0388/01-24 техническое устройство – фильтр на всасе компрессора поз. 440/2003А, зав. № 38109/FH2/1, рег. № 43 20-4096-ОК(НХС) ООО «УЭТП-НКНХ», применя;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-14872-2024
2ННЕ-2NL-2;ЦК-ЦЛ-Ц;1;1;компрессор;регулярка;компрессор 2ННЕ-2NL-2 зав.№ХНН-1804-N, позиция 430/2003, класс опасности I;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-02831-2017
ЕA919А;КЛЦК;1;1;компрессор;регулярка;АВО после первой ступени компрессора углекислого газа зав. № 12591, 12592, поз. ЕA919А, рег. № б/н цеха карбамида филиала «Азот» АО «ОХК «УРАЛХИМ» в городе Березники;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-17434-2024
ЕA919В;КЛЦК;1;1;компрессор;регулярка;АВО после второй ступени компрессора углекислого газа зав. № 12593, поз. ЕA919В, рег. № б/н цеха карбамида филиала «Азот» АО «ОХК «УРАЛХИМ» в городе Березники;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-17442-2024
ЕA919С;КЛЦК;1;1;компрессор;регулярка;АВО после третьей ступени компрессора углекислого газа зав. № 12594, поз. ЕA919С, рег. № б/н цеха карбамида филиала «Азот» АО «ОХК «УРАЛХИМ» в городе Березники;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-17444-2024
ЕA919D;КЛЦЛ;1;1;компрессор;регулярка;АВО на перепуске газа с нагнетания четвертой ступени на всас первой ступени компрессора углекислого газа зав. № 12595, поз. ЕA919D, рег. № б/н цеха карбамида;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-14756-2024
WRV-204-165, ЗА;Л-Ц-Ц, К;1;1;компрессор;регулярка;"техническое устройство компрессор HOWDEN WRV-204-165, ЗАВ. № 2078, ПОЗ. 50/2. цех №51 (УППиВА) филиала ""КЧХК"" АО ""ОХК ""Уралхим"" в г. Кирово-Чепецке, ОПО ""Площадка цеха №51. Производство аммиака"", рег.";https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-35765-2020
М101/Б1;КЦ/КЦ;1;1;воздуходувка;регулярка;"нагнетатель воздуха 360-23-4 поз. М101/Б1 агрегата ГТТ-3М №1, зав. № 80. ""ОПО ""Площадка цеха №53. Производство неконцентрированной азотной кислоты"" №А01-12112-0055 от 25.06.2015"", класс опасности - I.";https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-28052-2020
U1/U2;ЛЦ/ЛЦ;1;1;осушитель;регулярка;Осушительная колонка зав. №6M1039, поз. 1401-U1/U2, рег. №С-7220;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-08266-2020
М101/Б3;КЦ/КЦ;1;1;воздуходувка;регулярка;"нагнетатель 360-23-4 поз. М101/Б3 агрегата ГТТ-3М № 3, зав.№ 85 ОПО""Площадка цеха № 53 Производство неконцентрированной азотной кислоты"" рег.№ А01-12112-0055";https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-35459-2019
М101/Б5;КЦ/КЦ;1;1;воздуходувка;регулярка;"нагнетатель 360-23-4 поз. М101/Б5 агрегата ГТТ-3М № 5, зав.№ 165 ОПО""Площадка цеха № 53 Производство неконцентрированной азотной кислоты"" рег.№ А01-12112-0055";https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-35538-2019
TV2S3K400/630;ЛЦЛЦЛЦ/Ц;1;1;компрессор;регулярка;Компрессорная установка типа TV2S3K400/630 – TV2S3K400/270 поз. V4101A (V4101A/1-A/2);https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-19045-2019
21V-1А,В,С,D;ЦЛ-ЦК,К,К,Л;1;1;осушитель;регулярка;Углеводороды от печей регенерации 21F-1,1А до осушителей нефтяного газа 21V-1А,В,С,D. Рег.№ 202;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-25526-2014
21V-1/А/В/С/D;ЦЛ-Ц/К/К/К/Л;1;1;осушитель;регулярка;Газ регенерации от осушителей нефтяного газа 21V-1/А/В/С/D до осушителей нефтяного газа К-301/303. рег.№502;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-12886-2014
ГП-3,5/4-14У2;К-Ц,Ц/Ц-ЦКЦ;1;1;компрессор;регулярка;техническое устройство: Компрессор 302 ГП-3,5/4-14У2, зав.№ 4004, инв.№ 14880АЛВНГ, тех. №В-107/1, ЦДНГ №1 «Арчединский». ОПО – Площадка промысловой компрессорной станции ( КС «Кудиновская»), А53-0564;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-19234-2023
ГП-3,5/4-14У;К-Ц,Ц/Ц-ЦК;1;1;компрессор;регулярка;техническое устройство: Компрессор 302 ГП-3,5/4-14У, зав.№ 04003, инв.№ 14880АЛВНГ, тех. №В-107/2, ЦДНГ №1 «Арчединский». ОПО – Площадка промысловой компрессорной станции (КС «Кудиновская»), А53-05647;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-13890-2023
АНК1-65Х21ХЛ;КЦ-ЦКЦК;1;1;узел: воздуходувка;регулярка;арматуру нагнетательную АНК1-65Х21ХЛ зав. № 2768, место установки: куст-7, скважина № 433, ЦДНГ, Сергинское м.р., ООО «РИТЭК», ТПП «РИТЭКБелоярскнефть»;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-18991-2021
МК6В-WR;КЦК-Л;1;1;компрессор;регулярка;ЗАКЛЮЧЕНИЕ №067.01-ТУ10-24 экспертизы промышленной безопасности на техническое устройство – винтовой компрессор МК6В-WRVi 255-130/588, зав. №588, входящий в состав ОПО «Аммиач-но-холодильная установка;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-15673-2024
РЛД8.0;КЦ.Ц;1;1;ресивер;регулярка;техническое устройство, применяемое на опасном производственном объекте Объект экспертизы: Ресивер линейно-дренажный РЛД8.0 (зав. №37379, рег.№2002) Местонахождение объекта: 352700, РФ, Краснодарский ;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-08979-2024
МR6B-WR;КЛЦЛ-Л;1;1;компрессор;регулярка;компрессор винтовой, модель МR6B-WRVi-255.130.26, зав. № 588 с 3-х фазным асинхронным электродвигателем, компрессорный цех «Балтийское молоко» филиал АО «Вимм-Билль-Данн», Санкт-Петербург;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-16195-2018
ЕП 1016.0043.00.000;К Ц.Ц.Ц.Ц;1;1;ресивер;регулярка;«Азотный ресивер ЕП 1016.0043.00.000» зав. № 920537, техн. № Р3 рег.№ 20109;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-18494-2021
SVВ-57EB-26F;ЛК-ЦЛ-ЦЛ;1;1;компрессор;регулярка;Аммиачный винтовой компрессор SVВ-57EB-26F зав. № 108912;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-06352-2016
SVB-57EB-26F;Л-ЦЛ-ЦЛ;1;1;компрессор;регулярка;Аммиачный винтовой компрессор SVB-57EB-26F, заводской № 108912;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-01814-2015
UB-65-30-5,0-УХЛ4-;Л-Ц-Ц-Ц,Ц-КЦ-;1;1;компрессор;регулярка;"Заключение экспертизы промышленной безопасности № 129- ТУ/26 Технические устройства: Компрессор низкого давления UB-65-30-5,0-УХЛ4-Ex, зав.№167; Компрессор низкого давления UB-65-30-5,0-УХЛ4-Ex, зав.№";https://monitor-pb.ru/conclusion/89-%D0%A2%D0%A3-809359-2026
32ВФ-13/1,5СМ2У3;ЦК-Ц/Ц,ЦКЦКЦ;1;1;воздуходувка;регулярка;Ротационная газодувка тип 32ВФ-13/1,5СМ2У3 (тех.№ 73-1, зав. № 0902112) применяемая ОАО «Группа «Илим» Филиал в г.Братске» на опасном производственном объекте II класса опасности площадка ПХиЛ ЛХЦ, ра;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-14977-2015
ВФ-13/1,5СМ2У3;К-Ц/Ц,ЦКЦКЦ;1;1;воздуходувка;регулярка;Ротационная газодувка тип 32 ВФ-13/1,5СМ2У3 (тех.№ 73-2, зав. № 11032384) применяемая ОАО «Группа «Илим» Филиал в г.Братске» на опасном производственном объекте II класса опасности площадка ПХиЛ ЛХЦ, ;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-14980-2015
А0-7.0-Г-2;КЦ-Ц.Ц-К-Ц;1;1;осушитель;регулярка;Адсорбционный осушитель А0-7.0-Г-2, зав.№ 21070895;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-846013-2026
ВСВ 0.9-1.01-3;К Ц.Ц-Ц.Ц-Ц;1;1;ресивер;регулярка;на техническое устройство, применяемое на опасном производственном объекте: Ресивер ВСВ 0.9-1.01-3, зав.№0120, рег.№1017, БПО Северная Нижневартовский филиал ООО РН-Бурение;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-721653-2026
С415 М5;КЦ КЦ;1;1;компрессор;регулярка;Установка компрессорная модели С415 М5, заводской № 17;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-717871-2026
GA30P A;ЛЦЛ Л;1;1;компрессор;регулярка;Компрессор воздушный GA30P A 10 APB 400 50 Зав.№: API327746;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-694293-2026
